,Word,Frequency,,,,,
885,sire,160,,,,,
886,safe,160,,,,,
887,careless,160,,,,,
888,yes,160,,,,,
889,proof,160,,,,,
890,silver,159,,,,,
891,cave,159,,,,,
892,roam,159,,,,,
893,hut,159,,,,,
894,melancholi,159,,,,,
895,sheep,159,,,,,
896,health,159,,,,,
897,hours,158,,,,,
898,ray,158,,,,,
899,nest,158,,,,,
900,spare,158,,,,,
901,gale,157,,,,,
902,torrent,157,,,,,
903,a,157,,,,,
904,broke,157,,,,,
905,villag,157,,,,,
906,steps,157,,,,,
907,bank,157,,,,,
908,rude,156,,,,,
909,sister,156,,,,,
910,start,156,,,,,
911,purpos,156,,,,,
912,throng,155,,,,,
913,thither,155,,,,,
914,pang,155,,,,,
915,rever,154,,,,,
916,court,154,,,,,
917,forget,153,,,,,
918,wit,153,,,,,
919,flight,152,,,,,
920,chosen,152,,,,,
921,husband,152,,,,,
922,citi,151,,,,,
923,rocki,151,,,,,
924,worth,151,,,,,
925,held,151,,,,,
926,second,150,,,,,
927,began,150,,,,,
928,churchyard,150,,,,,
929,tend,150,,,,,
930,quit,149,,,,,
931,fals,149,,,,,
932,loss,149,,,,,
933,cliff,149,,,,,
934,dust,149,,,,,
935,sole,149,,,,,
936,forlorn,149,,,,,
937,progress,148,,,,,
938,futur,148,,,,,
939,floor,148,,,,,
940,element,147,,,,,
941,aloft,147,,,,,
942,desir,147,,,,,
943,wretch,146,,,,,
944,chase,146,,,,,
945,abroad,146,,,,,
946,offer,146,,,,,
947,grasp,146,,,,,
948,lowli,144,,,,,
949,countri,144,,,,,
950,dell,144,,,,,
951,draw,144,,,,,
952,mysteri,144,,,,,
953,bent,144,,,,,
954,temper,143,,,,,
955,autumn,143,,,,,
956,sabbath,143,,,,,
957,whate,143,,,,,
958,bloom,142,,,,,
959,fli,142,,,,,
960,covert,142,,,,,
961,triumph,142,,,,,
962,benign,142,,,,,
963,duti,142,,,,,
964,narrow,141,,,,,
965,steadi,141,,,,,
966,wife,141,,,,,
967,stop,141,,,,,
968,won,141,,,,,
969,summit,141,,,,,
970,univers,141,,,,,
971,sweep,140,,,,,
972,glanc,140,,,,,
973,lodg,140,,,,,
974,danger,140,,,,,
975,hall,140,,,,,
976,maintain,140,,,,,
977,school,140,,,,,
978,dreams,140,,,,,
979,warm,139,,,,,
980,dire,139,,,,,
981,creep,139,,,,,
982,sail,139,,,,,
983,oak,139,,,,,
984,awe,139,,,,,
985,island,139,,,,,
986,melt,138,,,,,
987,roll,138,,,,,
988,trembl,138,,,,,
989,farewel,138,,,,,
990,cry,138,,,,,
991,thick,138,,,,,
992,perish,138,,,,,
993,sober,138,,,,,
994,sublim,138,,,,,
995,blow,137,,,,,
996,secret,137,,,,,
997,drew,137,,,,,
998,together,137,,,,,
999,colour,137,,,,,
1000,peasant,137,,,,,
1001,soil,137,,,,,
1002,gold,136,,,,,
1003,stars,136,,,,,
1004,abode,136,,,,,
1005,wound,135,,,,,
1006,england,135,,,,,
1007,limb,135,,,,,
1008,domain,135,,,,,
1009,whisper,135,,,,,
1010,degre,135,,,,,
1011,times,134,,,,,
1012,imagin,134,,,,,
1013,hither,134,,,,,
1014,couch,133,,,,,
1015,throne,133,,,,,
1016,nois,133,,,,,
1017,repose,133,,,,,
1018,trod,133,,,,,
1019,advanc,132,,,,,
1020,brood,132,,,,,
1021,familiar,132,,,,,
1022,sustain,132,,,,,
1023,counten,132,,,,,
1024,struggl,131,,,,,
1025,change,131,,,,,
1026,spite,131,,,,,
1027,passed,131,,,,,
1028,ocean,130,,,,,
1029,affect,130,,,,,
1030,lean,130,,,,,
1031,aspect,130,,,,,
1032,brief,130,,,,,
1033,parent,130,,,,,
1034,childhood,130,,,,,
1035,sign,129,,,,,
1036,nobl,129,,,,,
1037,root,129,,,,,
1038,queen,129,,,,,
1039,despair,129,,,,,
1040,march,129,,,,,
1041,idl,128,,,,,
1042,sympathi,128,,,,,
1043,join,128,,,,,
1044,seldom,128,,,,,
1045,margin,128,,,,,
1046,issu,128,,,,,
1047,beast,128,,,,,
1048,sparkl,128,,,,,
1049,another,128,,,,,
1050,transport,127,,,,,
1051,beam,127,,,,,
1052,winds,127,,,,,
1053,dwelt,127,,,,,
1054,general,127,,,,,
1055,board,127,,,,,
1056,shower,126,,,,,
1057,reflect,126,,,,,
1058,store,126,,,,,
1059,rustic,126,,,,,
1060,endless,126,,,,,
1061,repos,126,,,,,
1062,house,126,,,,,
1063,preserv,126,,,,,
1064,five,125,,,,,
1065,rural,125,,,,,
1066,larg,125,,,,,
1067,foot,125,,,,,
1068,driven,124,,,,,
1069,boat,124,,,,,
1070,solitud,124,,,,,
1071,hopes,124,,,,,
1072,monument,124,,,,,
1073,domest,124,,,,,
1074,shield,124,,,,,
1075,grant,124,,,,,
1076,fountain,124,,,,,
1077,privileg,124,,,,,
1078,paid,123,,,,,
1079,brave,123,,,,,
1080,attend,123,,,,,
1081,array,123,,,,,
1082,medit,123,,,,,
1083,repeat,123,,,,,
1084,flash,123,,,,,
1085,beautiful,123,,,,,
1086,stoop,122,,,,,
1087,bough,122,,,,,
1088,genius,122,,,,,
1089,observ,122,,,,,
1090,hair,121,,,,,
1091,caught,121,,,,,
1092,wear,121,,,,,
1093,retreat,121,,,,,
1094,enjoy,121,,,,,
1095,crystal,121,,,,,
1096,anguish,121,,,,,
1097,slept,121,,,,,
1098,judgment,120,,,,,
1099,merci,120,,,,,
1100,notic,120,,,,,
